"CHART","VAR","SEXF","HTCMGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","HTWT",0,"[75,76)",-1.097263403,9.742129356,0.077733651,8.506795026,8.643511567,8.863288423,9.257942887,9.742129356,10.28265908,10.82606321,11.18113275,11.42512564
"CDC","HTWT",0,"[76,77)",-1.053083813,9.974642178,0.077452242,8.710439238,8.850725924,9.076052776,9.480070094,9.974642178,10.52526749,11.07715916,11.43684424,11.68357247
"CDC","HTWT",0,"[77,78)",-1.011294273,10.20546331,0.077190512,8.912555531,9.056390619,9.287233301,9.700557381,10.20546331,10.76616287,11.32657755,11.69094178,11.94047127
"CDC","HTWT",0,"[78,79)",-0.972360231,10.43476723,0.076948562,9.113322086,9.260678201,9.496996252,9.91956818,10.43476723,11.00554988,11.57457043,11.94371638,12.19614287
"CDC","HTWT",0,"[79,80)",-0.936705887,10.66274993,0.076726804,9.312930869,9.463775754,9.705523721,10.13728428,10.66274993,11.24365775,11.8214166,12.19548652,12.45093578
"CDC","HTWT",0,"[80,81)",-0.904722736,10.88962699,0.076525901,9.511586717,9.665883884,9.913012453,10.35390433,10.88962699,11.48073815,12.06741962,12.44659654,12.70522492
"CDC","HTWT",0,"[81,82)",-0.876777097,11.11563177,0.076346711,9.709506461,9.867215725,10.11967266,10.5696423,11.11563177,11.71706321,12.31290587,12.69741505,12.9594104
"CDC","HTWT",0,"[82,83)",-0.853216568,11.34101346,0.076190236,9.90691806,10.06799596,10.32572684,10.78472594,11.34101346,11.95292329,12.55822265,12.94833337,13.21391629
"CDC","HTWT",0,"[83,84)",-0.834375406,11.56603512,0.076057579,10.10405976,10.26845983,10.53140858,10.99939524,11.56603512,12.18862496,12.8037362,13.19976391,13.46918953
"CDC","HTWT",0,"[84,85)",-0.820578855,11.79097176,0.075949901,10.30117927,10.46885221,10.73696139,11.21390081,11.79097176,12.42448873,13.04982974,13.45213869,13.7256987
"CDC","HTWT",0,"[85,86)",-0.81214646,12.01610828,0.075868383,10.49853295,10.66942663,10.94263752,11.42850232,12.01610828,12.66084697,13.29690152,13.70590772,13.98393299
"CDC","HTWT",0,"[86,87)",-0.809394398,12.24173753,0.075814185,10.69638497,10.87044435,11.14869679,11.64346692,12.24173753,12.89804158,13.5453628,13.96153752,14.24440109
"CDC","HTWT",0,"[87,88)",-0.812636889,12.46815824,0.075788413,10.89500657,11.07217344,11.35540546,11.85906768,12.46815824,13.13642183,13.79563586,14.21950956,14.50763019
"CDC","HTWT",0,"[88,89)",-0.822186712,12.69567298,0.075792075,11.0946752,11.27488782,11.56303507,12.07558197,12.69567298,13.37634196,14.04815191,14.48031873,14.77416503
"CDC","HTWT",0,"[89,90)",-0.838354876,12.92458613,0.075826044,11.29567376,11.47886643,11.77186133,12.29328999,12.92458613,13.6181589,14.30334895,14.74447181,15.044567
"CDC","HTWT",0,"[90,91)",-0.861449493,13.15520182,0.075891019,11.49828978,11.68439228,11.98216306,12.51247319,13.15520182,13.86222981,14.56166964,15.01248591,15.31941326
"CDC","HTWT",0,"[91,92)",-0.891773904,13.38782185,0.075987476,11.70281463,11.89175157,12.19422113,12.73341284,13.38782185,14.10890963,14.82355899,15.28488689,15.59929608
"CDC","HTWT",0,"[92,93)",-0.929617736,13.6227442,0.076115636,11.90954225,12.10123261,12.4083174,12.95638887,13.6227442,14.35854899,15.08946216,15.5622076,15.88482163
"CDC","HTWT",0,"[93,94)",-0.975268944,13.86025986,0.076275395,12.1187693,12.31312548,12.62473383,13.18167788,13.86025986,14.61149059,15.35982164,15.84498667,16.17661055
"CDC","HTWT",0,"[94,95)",-1.028990493,14.10065234,0.076466299,12.33079298,12.52772045,12.84375146,13.40955269,14.10065234,14.86806787,15.63507513,16.13376622,16.47529604
"CDC","HTWT",0,"[95,96)",-1.091024455,14.34419522,0.076687482,12.54591071,12.74530738,13.06564953,13.64028082,14.34419522,15.12860179,15.91565257,16.42909034,16.78152407
"CDC","HTWT",0,"[96,97)",-1.161574946,14.59115139,0.076937631,12.76441819,12.9661743,13.29070461,13.87412402,14.59115139,15.39339911,16.20197359,16.73150285,17.09595206
"CDC","HTWT",0,"[97,98)",-1.240820737,14.84177007,0.077214912,12.98660961,13.19060724,13.5191898,14.11133652,14.84177007,15.66274835,16.494444,17.04154573,17.41925008
"CDC","HTWT",0,"[98,99)",-1.328879402,15.0962879,0.077516968,13.21277431,13.41888786,13.75137383,14.3521657,15.0962879,15.93691963,16.79345342,17.35975605,17.75209809
"CDC","HTWT",0,"[99,100)",-1.425809463,15.35492729,0.077840877,13.44319598,13.65129272,13.98752021,14.59685108,15.35492729,16.21616173,17.09937174,17.68666374,18.09518631
"CDC","HTWT",0,"[100,101)",-1.531575592,15.61789822,0.078183177,13.67814897,13.88809057,14.22788616,14.8456253,15.61789822,16.50070256,17.41254676,18.02278798,18.44921206
"CDC","HTWT",0,"[101,102)",-1.646081976,15.88539464,0.078539804,13.91789949,14.12954284,14.47272193,15.09871195,15.88539464,16.79074422,17.73329941,18.36863542,18.81488277
"CDC","HTWT",0,"[102,103)",-1.769082483,16.15760201,0.078906277,14.16269719,14.37589784,14.722269,15.35632936,16.15760201,17.08646948,18.06192364,18.72469422,19.19290687
"CDC","HTWT",0,"[103,104)",-1.900221246,16.43469418,0.079277694,14.41277633,14.62739094,14.97675902,15.61868832,16.43469418,17.38803782,18.39868195,19.09143177,19.58399633
"CDC","HTWT",1,"[45,45]",0.666839915,2.305396985,0.168969897,1.61302626,1.69530853,1.824644762,2.047707671,2.305396985,2.573066177,2.822211988,2.974943903,3.075559629
"CDC","HTWT",1,"(45,46)",0.699616404,2.403256702,0.157654766,1.723754478,1.805222631,1.932850514,2.151843669,2.403256702,2.662835955,2.90317596,3.049956403,3.146436315
"CDC","HTWT",1,"[46,47)",0.747915684,2.606020484,0.139389663,1.946460733,2.026496007,2.151303478,2.363960397,2.606020484,2.853889995,3.081735239,3.220172553,3.310892709
"CDC","HTWT",1,"[47,48)",0.751754737,2.817114082,0.125837223,2.170805299,2.249554961,2.37216013,2.580564792,2.817114082,3.058703241,3.280280685,3.414702479,3.502712567
"CDC","HTWT",1,"[48,49)",0.691329975,3.035356101,0.115888948,2.396673878,2.474214132,2.595089193,2.80098615,3.035356101,3.275451769,3.496304856,3.630584823,3.718622563
"CDC","HTWT",1,"[49,50)",0.559107556,3.259693318,0.108648608,2.623845869,2.700266794,2.819827425,3.024685576,3.259693318,3.502419401,3.72742595,3.865029598,3.955569802
