"CHART","VAR","SEXF","AGEGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","BMI",1,"[209,210)",-2.254885145,21.07048996,0.147369174,16.98894397,17.36563825,18.00297732,19.26301292,21.07048996,23.58044651,26.94920132,29.92352223,32.55203545
"CDC","BMI",1,"[210,211)",-2.26238209,21.10163241,0.147323144,17.01748828,17.39427286,18.03182181,19.29251705,21.10163241,23.61557603,26.9937009,29.98109225,32.62566902
"CDC","BMI",1,"[211,212)",-2.269731517,21.13215845,0.147286698,17.0453012,17.42218439,18.05995835,19.32134706,21.13215845,23.65018962,27.03787056,30.03857329,32.69952105
"CDC","BMI",1,"[212,213)",-2.276917229,21.16206171,0.147260415,17.07236026,17.44935184,18.08736842,19.34948942,21.16206171,23.68429059,27.08172575,30.09599042,32.77362474
"CDC","BMI",1,"[213,214)",-2.283925442,21.1913351,0.147244828,17.09864412,17.47575509,18.11403409,19.37693055,21.1913351,23.71788103,27.12528094,30.15336926,32.84801632
"CDC","BMI",1,"[214,215)",-2.290731442,21.21997472,0.147240683,17.12412619,17.50136974,18.13993458,19.4036568,21.21997472,23.75096919,27.16855668,30.21073618,32.92272296
"CDC","BMI",1,"[215,216)",-2.29732427,21.24797262,0.147248467,17.14878634,17.52617667,18.16505254,19.4296545,21.24797262,23.78355579,27.21156668,30.26811799,32.9977851
"CDC","BMI",1,"[216,217)",-2.303687802,21.27532239,0.14726877,17.17260194,17.55015468,18.18936927,19.45490996,21.27532239,23.81564452,27.25432769,30.32554216,33.07323931
"CDC","BMI",1,"[217,218)",-2.309799971,21.30201933,0.147302299,17.19554744,17.57328018,18.21286444,19.47940934,21.30201933,23.84724252,27.29685999,30.38303689,33.14911749
"CDC","BMI",1,"[218,219)",-2.315651874,21.32805489,0.147349514,17.21760352,17.59553468,18.23552108,19.50313889,21.32805489,23.8783497,27.33917721,30.44063073,33.22546443
"CDC","BMI",1,"[219,220)",-2.32121731,21.35342563,0.147411215,17.23874246,17.61689275,18.25731763,19.52608462,21.35342563,23.90897582,27.38130268,30.49835324,33.30230965
"CDC","BMI",1,"[220,221)",-2.326481911,21.37812462,0.147487979,17.25894211,17.63733356,18.27823552,19.54823263,21.37812462,23.93912415,27.42325378,30.55623433,33.37969431
"CDC","BMI",1,"[221,222)",-2.331428139,21.40214589,0.147580453,17.2781787,17.6568349,18.29825524,19.5695689,21.40214589,23.96879993,27.46505002,30.61430463,33.45765732
"CDC","BMI",1,"[222,223)",-2.336038473,21.42548351,0.147689289,17.29642829,17.67537444,18.31735722,19.59007937,21.42548351,23.99800858,27.50671138,30.67259539,33.53623826
"CDC","BMI",1,"[223,224)",-2.34029545,21.44813156,0.14781515,17.31366688,17.69292976,18.33552175,19.60974989,21.44813156,24.02675569,27.54825824,30.73113849,33.61547736
"CDC","BMI",1,"[224,225)",-2.344181703,21.47008412,0.147958706,17.32987032,17.70947829,18.35272903,19.62856629,21.47008412,24.05504702,27.58971144,30.78996648,33.69541553
