"","ITER","SEXF","AGEGRP","HTWT_COR"
"179",5,0,"[228,240)",0.377116243788605
"180",5,1,"[228,240)",0.116556298463538
"181",6,0,"[25,36)",0.694654745693504
"182",6,1,"[25,36)",0.687561506878745
"183",6,0,"[36,48)",0.763996605054756
"184",6,1,"[36,48)",0.800688765361199
"185",6,0,"[48,60)",0.813416166724271
"186",6,1,"[48,60)",0.821572859289279
"187",6,0,"[60,72)",0.810375976465271
"188",6,1,"[60,72)",0.78750291460925
"189",6,0,"[72,84)",0.794390648542719
"190",6,1,"[72,84)",0.736226702910138
"191",6,0,"[84,96)",0.704641856984544
"192",6,1,"[84,96)",0.692754892459213
"193",6,0,"[96,108)",0.655216119068884
"194",6,1,"[96,108)",0.617511851568994
"195",6,0,"[108,120)",0.662177655307833
"196",6,1,"[108,120)",0.671315195185384
"197",6,0,"[120,132)",0.677421511633931
"198",6,1,"[120,132)",0.700249913802888
"199",6,0,"[132,144)",0.735410886044475
"200",6,1,"[132,144)",0.64150640292942
"201",6,0,"[144,156)",0.67149764745434
"202",6,1,"[144,156)",0.558870196626699
"203",6,0,"[156,168)",0.61506144021624
"204",6,1,"[156,168)",0.512458543646209
"205",6,0,"[168,180)",0.462862963925276
"206",6,1,"[168,180)",0.44277410122012
"207",6,0,"[180,192)",0.43480216769228
"208",6,1,"[180,192)",0.328467938776754
"209",6,0,"[192,204)",0.489663793099867
"210",6,1,"[192,204)",0.333387440443079
"211",6,0,"[204,216)",0.46889683647156
"212",6,1,"[204,216)",0.251669090296031
"213",6,0,"[216,228)",0.452767566657159
"214",6,1,"[216,228)",0.249692737764907
"215",6,0,"[228,240)",0.378229441960229
"216",6,1,"[228,240)",0.098984702021725
"217",7,0,"[25,36)",0.696883959086965
"218",7,1,"[25,36)",0.680360140075413
"219",7,0,"[36,48)",0.772454010001888
"220",7,1,"[36,48)",0.772258724971667
"221",7,0,"[48,60)",0.81331314862776
"222",7,1,"[48,60)",0.820116863118287
"223",7,0,"[60,72)",0.815076422262675
"224",7,1,"[60,72)",0.792797777530815
"225",7,0,"[72,84)",0.77741984951872
"226",7,1,"[72,84)",0.760812072932171
"227",7,0,"[84,96)",0.727997161476852
"228",7,1,"[84,96)",0.691915577663595
"229",7,0,"[96,108)",0.675153245622588
"230",7,1,"[96,108)",0.692510113780238
"231",7,0,"[108,120)",0.648747583450167
"232",7,1,"[108,120)",0.666030425450474
"233",7,0,"[120,132)",0.701753815184143
"234",7,1,"[120,132)",0.667472347136268
"235",7,0,"[132,144)",0.684324594496416
"236",7,1,"[132,144)",0.658214022692627
"237",7,0,"[144,156)",0.694497373423378
"238",7,1,"[144,156)",0.536838623546018
"239",7,0,"[156,168)",0.603913098548389
"240",7,1,"[156,168)",0.462437952586531
"241",7,0,"[168,180)",0.498134469818891
"242",7,1,"[168,180)",0.393389043237159
"243",7,0,"[180,192)",0.455888543605351
"244",7,1,"[180,192)",0.361588369964572
"245",7,0,"[192,204)",0.451772204740259
"246",7,1,"[192,204)",0.311395391985294
"247",7,0,"[204,216)",0.456591114262188
"248",7,1,"[204,216)",0.194348608472779
"249",7,0,"[216,228)",0.446488046604493
"250",7,1,"[216,228)",0.183857065933082
"251",7,0,"[228,240)",0.357144300592179
"252",7,1,"[228,240)",0.0729904675817299
"253",8,0,"[25,36)",0.718538955795436
"254",8,1,"[25,36)",0.692276973543524
"255",8,0,"[36,48)",0.766437677396835
"256",8,1,"[36,48)",0.786689728147427
"257",8,0,"[48,60)",0.818630384159781
"258",8,1,"[48,60)",0.829912865985321
"259",8,0,"[60,72)",0.824180694947048
"260",8,1,"[60,72)",0.793211548875396
"261",8,0,"[72,84)",0.774174660683922
"262",8,1,"[72,84)",0.769443943387991
"263",8,0,"[84,96)",0.747328571837509
"264",8,1,"[84,96)",0.68112103742134
"265",8,0,"[96,108)",0.672686955622707
"266",8,1,"[96,108)",0.668852729418363
"267",8,0,"[108,120)",0.658483720499595
"268",8,1,"[108,120)",0.678181366730531
"269",8,0,"[120,132)",0.664177216632532
"270",8,1,"[120,132)",0.666195326938611
"271",8,0,"[132,144)",0.712992131092818
"272",8,1,"[132,144)",0.648380722652708
"273",8,0,"[144,156)",0.694398435785908
"274",8,1,"[144,156)",0.560499103153598
"275",8,0,"[156,168)",0.569198819342185
"276",8,1,"[156,168)",0.49756951324955
"277",8,0,"[168,180)",0.477214608756837
"278",8,1,"[168,180)",0.478053874217465
"279",8,0,"[180,192)",0.459434433482638
"280",8,1,"[180,192)",0.399244985068463
"281",8,0,"[192,204)",0.454084855593713
"282",8,1,"[192,204)",0.34889295242398
"283",8,0,"[204,216)",0.453082687256531
"284",8,1,"[204,216)",0.269358086691963
"285",8,0,"[216,228)",0.478582093813188
"286",8,1,"[216,228)",0.200597867114057
"287",8,0,"[228,240)",0.362349627014978
"288",8,1,"[228,240)",0.0770881111324175
"289",9,0,"[25,36)",0.702561757793258
"290",9,1,"[25,36)",0.687458719260779
"291",9,0,"[36,48)",0.770117720674696
"292",9,1,"[36,48)",0.785434347566601
"293",9,0,"[48,60)",0.824840866784476
"294",9,1,"[48,60)",0.828139823901599
"295",9,0,"[60,72)",0.820207242620083
"296",9,1,"[60,72)",0.782465292173255
"297",9,0,"[72,84)",0.781403623392248
"298",9,1,"[72,84)",0.738559899844163
"299",9,0,"[84,96)",0.731177841064304
"300",9,1,"[84,96)",0.668657062478427
"301",9,0,"[96,108)",0.672017444856106
"302",9,1,"[96,108)",0.653123616905309
"303",9,0,"[108,120)",0.676078655262702
"304",9,1,"[108,120)",0.73173305992293
"305",9,0,"[120,132)",0.699754006050443
"306",9,1,"[120,132)",0.675560656359061
"307",9,0,"[132,144)",0.710309188348233
"308",9,1,"[132,144)",0.609722886924801
"309",9,0,"[144,156)",0.660802110746392
"310",9,1,"[144,156)",0.525515560598697
"311",9,0,"[156,168)",0.587368122254681
"312",9,1,"[156,168)",0.433591200076227
"313",9,0,"[168,180)",0.500152371253225
"314",9,1,"[168,180)",0.388877027193742
"315",9,0,"[180,192)",0.453211261157104
"316",9,1,"[180,192)",0.44311531926341
"317",9,0,"[192,204)",0.44345188366367
"318",9,1,"[192,204)",0.268435671137519
"319",9,0,"[204,216)",0.468826501159508
"320",9,1,"[204,216)",0.245324897524352
"321",9,0,"[216,228)",0.378039682671321
"322",9,1,"[216,228)",0.182147780161401
"323",9,0,"[228,240)",0.357460079962884
"324",9,1,"[228,240)",0.0657835572378445
"325",10,0,"[25,36)",0.694239718813916
"326",10,1,"[25,36)",0.701571986765136
"327",10,0,"[36,48)",0.764250779419673
